Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",178.000000,-118.500000,0.000000,top
"C2","22u","C_0805_2012Metric",183.000000,-124.000000,90.000000,top
"C3","10u","C_0603_1608Metric",166.500000,-107.000000,0.000000,top
"C4","10p","C_0402_1005Metric",161.000000,-113.580000,90.000000,top
"C5","100n","C_0402_1005Metric",167.000000,-121.500000,0.000000,top
"C6","100n","C_0402_1005Metric",163.000000,-112.000000,90.000000,top
"C7","100n","C_0402_1005Metric",175.000000,-113.000000,-90.000000,top
"C8","10p","C_0402_1005Metric",161.000000,-115.600000,90.000000,top
"C9","100n","C_0402_1005Metric",172.000000,-121.500000,180.000000,top
"C10","100n","C_0402_1005Metric",166.500000,-109.500000,0.000000,top
"C11","10n","C_0402_1005Metric",163.000000,-116.500000,90.000000,top
"C12","1u","C_0402_1005Metric",162.480000,-120.000000,180.000000,top
"C13","1u","C_0402_1005Metric",162.520000,-121.500000,0.000000,top
"D1","RED","LED_0402_1005Metric",186.250000,-124.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",164.500000,-120.787500,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",164.200000,-129.250000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",167.800000,-100.500000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",181.800000,-100.500000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",188.245000,-115.505000,90.000000,top
"R1","1k5","R_0402_1005Metric",186.500000,-121.500000,0.000000,top
"R2","1k5","R_0402_1005Metric",167.500000,-124.750000,180.000000,top
"R3","1k5","R_0402_1005Metric",170.000000,-124.750000,0.000000,top
"R4","10k","R_0402_1005Metric",159.000000,-106.000000,0.000000,top
"R5","1k5","R_0402_1005Metric",178.750000,-111.740000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",154.000000,-109.000000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",178.000000,-124.000000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",169.000000,-115.500000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",158.500000,-114.600000,-90.000000,top
